Address,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
"301 Health Center Drive, Clanton, AL 35406",33.335596,-87.533495,0.22,place,,,,,Tuscaloosa,AL,Tuscaloosa County,35406,US,TIGER/Line® dataset from the US Census Bureau
"102 Wild Avenue, Evergreen, AL 36401",31.447114,-86.962393,1,range_interpolation,102,Wild Ave,,,Evergreen,AL,Conecuh County,36401,US,TIGER/Line® dataset from the US Census Bureau
"1958 Alabama Highway 157, Cullman, AL 35058",34.198416,-86.803939,0.8,range_interpolation,1958,State Rte 157,,,Cullman,AL,Cullman County,35057,US,TIGER/Line® dataset from the US Census Bureau
"1101 Dr Edward Hillard Dr., Tuscaloosa, AL 35401",33.2036,-87.528189,1,rooftop,1101,Dr Edward Hillard Dr,,,Tuscaloosa,AL,Tuscaloosa County,35401,US,Tuscaloosa
"421 Medical Center Drive, SW, Fort Payne, AL 35968",34.439896,-85.75607,0.6,street_center,,Medical Ctr Dr SW,,,Fort Payne,AL,DeKalb County,35968,US,TIGER/Line® dataset from the US Census Bureau
"2117 University Blvd, South Birmingham, AL 35205",33.50537,-86.797422,0.9,range_interpolation,2117,University Blvd,,,Birmingham,AL,Jefferson County,35233,US,TIGER/Line® dataset from the US Census Bureau
"8600 Highway 31 North, Suite 17, Atmore, AL 36502, Atmore, AL 36502",31.014416,-87.556259,0.6,street_center,,US Hwy 31,,,Atmore,AL,Escambia County,36502,US,TIGER/Line® dataset from the US Census Bureau
"1115 Azalea Place, Brewton, AL 36426",31.129427,-87.096126,0.33,place,,,,,Brewton,AL,Escambia County,36426,US,TIGER/Line® dataset from the US Census Bureau
"1007 Goodyear Avenue, Gadsden, AL 35903",34.009284,-85.971315,1,range_interpolation,1007,Goodyear Ave,,,Gadsden,AL,Etowah County,35903,US,TIGER/Line® dataset from the US Census Bureau
" , Mobile, AL 36695",30.666959,-88.226989,1,place,,,,,Mobile,AL,Mobile County,36695,US,TIGER/Line® dataset from the US Census Bureau
"508 Greene Street, Greensboro, AL 36744",32.694598,-87.587733,0.9,range_interpolation,508,Greene St,,,Greensboro,AL,Hale County,36744,US,TIGER/Line® dataset from the US Census Bureau
"1211 Highway 31 NW, Suite B, Hartselle, AL 35640",34.453874,-86.947497,1,rooftop,1211,Hwy 31 NW,Ste,B,Hartselle,AL,Morgan County,35640,US,Morgan
"2503 John Hawkins Parkway, Hoover, AL 35244",33.355076,-86.846115,1,rooftop,2503,John Hawkins Pkwy,,,Birmingham,AL,Jefferson County,35244,US,Jefferson
"2151 Airport Road, Huntsville, AL 35802",34.687018,-86.586864,0.8,rooftop,2151,Airport Rd SW,,,Huntsville,AL,Madison County,35801,US,Madison
"120 Governors Drive, Huntsville, AL 35801",34.719546,-86.577372,0.9,rooftop,120,Governors Dr SE,,,Huntsville,AL,Madison County,35801,US,Madison
"166 Mobile Infirmary Boulevard, Mobile, AL 36604",30.694019,-88.080048,0.9,rooftop,166,Mobile Infirmary Blvd,,,Mobile,AL,Mobile County,36607,US,City of Mobile
"2115 Hand Ave, Bay Minette, AL 36507",30.90901,-87.786219,0.9,range_interpolation,2115,Hand Ave,,,Bay Minette,AL,Baldwin County,36507,US,TIGER/Line® dataset from the US Census Bureau
"500 Hospital Drive, Wetumpka, AL 36092",32.552257,-86.186358,1,rooftop,500,Hospital Dr,,,Wetumpka,AL,Elmore County,36092,US,Elmore
"202 Hospital St, Moulton, AL 35650",34.483851,-87.286003,1,range_interpolation,202,Hospital St,,,Moulton,AL,Lawrence County,35650,US,TIGER/Line® dataset from the US Census Bureau
"303 Industrial Drive, Linden, AL 36748",32.321943,-87.749847,0.33,place,,,,,Linden,AL,Marengo County,36748,US,TIGER/Line® dataset from the US Census Bureau
"2908 Mall Rd., Florence, AL 35630",34.839743,-87.638633,1,rooftop,2908,Mall Rd,Fl,ENCE,Florence,AL,Lauderdale County,35630,US,Lauderdale
"230 East 10th Street, Anniston, AL 36207",33.65651,-85.825399,1,rooftop,230,E 10th St,,,Anniston,AL,Calhoun County,36207,US,Calhoun County
"4100 McClellan Boulevard, Anniston, AL 36201",33.692736,-85.823941,1,rooftop,4100,McClellan Blvd,,,Anniston,AL,Calhoun County,36201,US,Calhoun County
"956 Gilbert Ferry Rd SE, Attalla, AL 35954",33.998297,-86.106012,0.6,street_center,,Gilbert Ferry Rd SE,,,Attalla,AL,Etowah County,35954,US,TIGER/Line® dataset from the US Census Bureau
"150 Tompkins St, Heflin, AL 36264",33.623575,-85.598891,1,range_interpolation,150,Tompkins St,,,Heflin,AL,Cleburne County,36264,US,TIGER/Line® dataset from the US Census Bureau
"2078 Sportplex Boulevard, Alexander City, AL 35010",32.924964,-85.967832,0.6,street_center,,Sportplex Blvd,,,Alexander City,AL,Tallapoosa County,35010,US,TIGER/Line® dataset from the US Census Bureau
"3500 Cloverdale Rd., Florence, AL 35633",34.85264,-87.69069,1,rooftop,3500,Cloverdale Rd,Fl,ENCE,Florence,AL,Lauderdale County,35633,US,Lauderdale
"1960 Gadsden Highway, Trussville, AL 35235",33.610267,-86.626784,1,rooftop,1960,Gadsden Hwy,,,Birmingham,AL,Jefferson County,35235,US,Jefferson
"1720 2nd Ave S, Brimingham, AL 35205",33.536195,-86.709094,0.9,rooftop,1720,2nd Ave S,,,Birmingham,AL,Jefferson County,35210,US,Jefferson
"500 Cahaba Park Circle Suite 100, Birmingham, AL 35242",33.430816,-86.706392,1,rooftop,500,Cahaba Park Cir,Ste,100,Birmingham,AL,Jefferson County,35242,US,Jefferson
"8490 Highway 72 West, Suite 100, Need to be showing sypmtoms; after confirmed testi, AL 35758",34.748714,-86.769273,0.9,range_interpolation,8490,State Rte 2,Ste,100,Madison,AL,Madison County,35758,US,TIGER/Line® dataset from the US Census Bureau
"117 North Chalkville Road, Trussville, AL 35173",33.6214,-86.608788,1,rooftop,117,Chalkville Rd N,,,Trussville,AL,Jefferson County,35173,US,Jefferson
"4700 Rice Mine Rd Northeast, Tuscaloosa, AL 35406",33.260408,-87.515653,1,rooftop,4700,Rice Mine Rd NE,,,Tuscaloosa,AL,Tuscaloosa County,35406,US,Tuscaloosa
"520 Montgomery Highway, Vestavia, AL 35216",33.449988,-86.789577,1,rooftop,520,Montgomery Hwy,,,Birmingham,AL,Jefferson County,35216,US,Jefferson
"105 U.S. Highway 80 East, Demopolis, AL 36732",32.505363,-87.837262,1,rooftop,105,Hwy 80,,,Demopolis,AL,Marengo County,36732,US,Marengo
"141 Betty Drive, Pocahontas, AR 72433",36.23625,-90.960716,0.9,rooftop,141,Betty Dr,,,Pocahontas,AR,Randolph County,72455,US,Arkansas Geographic Information Office
"800 Main St, Augusta, AR 72006",35.282172,-91.360409,1,range_interpolation,800,Main St,,,Augusta,AR,Woodruff County,72006,US,TIGER/Line® dataset from the US Census Bureau
"178 US-167, Bald Knob, AR 72010",35.368857,-91.560062,0.6,street_center,,US Hwy 167,,,Bald Knob,AR,White County,72010,US,TIGER/Line® dataset from the US Census Bureau
"615 N Main St, Brinkley, AR 72021",34.879331,-91.194505,0.6,range_interpolation,615,Us Hwy 49,,,Brinkley,AR,Monroe County,72021,US,TIGER/Line® dataset from the US Census Bureau
"821 E Park St, Hwy 70, Carlisle, AR 72024",34.780644,-91.739264,1,rooftop,821,E Park St,,,Carlisle,AR,Lonoke County,72024,US,Arkansas Geographic Information Office
"405 Hwy 11 N, Des Arc Prairie, AR 72040",34.980209,-91.509971,1,rooftop,405,Highway 11 N,,,Des Arc,AR,Prairie County,72040,US,Arkansas Geographic Information Office
"227 Pine Bluff Hwy, England, AR 72046",34.545188,-91.957167,1,rooftop,227,Pine Bluff Hwy,,,England,AR,Lonoke County,72046,US,Arkansas Geographic Information Office
"24 E South Front, Hazen, AR 72064",34.780211,-91.578719,0.6,street_center,,US Hwy 70,Frnt,,Hazen,AR,Prairie County,72064,US,TIGER/Line® dataset from the US Census Bureau
"705 Highway 63 North, Hazen, AR 72064",34.786612,-91.566587,1,rooftop,705,Highway 63 N,,,Hazen,AR,Prairie County,72064,US,Arkansas Geographic Information Office
"805 3rd St, Horseshoe Bend, AR 72512",36.217901,-91.759135,1,range_interpolation,805,3rd St,,,Horseshoe Bend,AR,Izard County,72512,US,TIGER/Line® dataset from the US Census Bureau
"2816 Fox Meadow Ln, Jonesboro, AR 72404",35.789051,-90.671578,1,rooftop,2816,Fox Meadow Ln,,,Jonesboro,AR,Craighead County,72404,US,Arkansas Geographic Information Office
"1530 N Church St, Jonesboro, AR 72401",35.859544,-90.70241,1,rooftop,1530,Church St N,,,Jonesboro,AR,Craighead County,72401,US,Arkansas Geographic Information Office
"606 W Wilbur Mills Ave, Kensett, AR 72082",35.236127,-91.671682,1,range_interpolation,606,W Wilbur Mills Ave,,,Kensett,AR,White County,72082,US,TIGER/Line® dataset from the US Census Bureau
"1009 AR-18, Lake City, AR 72437",35.820283,-90.437976,1,range_interpolation,1009,State Hwy 18,,,Lake City,AR,Craighead County,72437,US,TIGER/Line® dataset from the US Census Bureau
"801 Edmonds Ave, McCrory, AR 72101",35.264903,-91.199368,0.9,rooftop,801,N Edmonds Ave,,,McCrory,AR,Woodruff County,72101,US,Arkansas Geographic Information Office
"54 Tate Springs Rd, Melbourne, AR 72556",36.059676,-91.887807,1,rooftop,54,Tate Springs Rd,,,Melbourne,AR,Izard County,72556,US,Arkansas Geographic Information Office
"114 Ray St, Newport, AR 72112",35.604735,-91.255644,1,range_interpolation,114,Ray St,,,Newport,AR,Jackson County,72112,US,TIGER/Line® dataset from the US Census Bureau
"304 Main St, Pangburn, AR 72006",35.282606,-91.364183,0.9,range_interpolation,304,Main St,,,Augusta,AR,Woodruff County,72006,US,TIGER/Line® dataset from the US Census Bureau
"5787 US-64 , Parkin, AR 72372",35.269261,-90.544011,0.9,rooftop,5787,US 64 Hwy,,,Parkin,AR,Cross County,72373,US,Arkansas Geographic Information Office
"138 School Rd , Rose Bud, AR 72006",35.335425,-92.073531,0.8,range_interpolation,138,School Rd,,,Rose Bud,AR,White County,72137,US,TIGER/Line® dataset from the US Census Bureau
"305 Rodgers Dr, Searcy, AR 72143",35.235065,-91.731585,1,rooftop,305,Rodgers Dr,,,Searcy,AR,White County,72143,US,Arkansas Geographic Information Office
"300 Main St, Swifton, AR 72417",35.82314,-91.12809,0.9,range_interpolation,300,Main St,,,Swifton,AR,Jackson County,72471,US,TIGER/Line® dataset from the US Census Bureau
"611 Julia Ave, Wynne, AR 72396",35.218186,-90.786341,0.9,rooftop,611,E Julia Ave,,,Wynne,AR,Cross County,72396,US,Arkansas Geographic Information Office
"1175 Vine St, Batesville, AR 72501",35.774082,-91.641186,1,range_interpolation,1175,Vine St,,,Batesville,AR,Independence County,72501,US,TIGER/Line® dataset from the US Census Bureau
"4100 Harrison St, Batesville, AR 72501",35.767215,-91.591603,1,range_interpolation,4100,Harrison St,,,Batesville,AR,Independence County,72501,US,TIGER/Line® dataset from the US Census Bureau
"110 Camp Tahkodah Rd, Batesville, AR 72501",35.691195,-91.658906,0.6,street_center,,Camp Tahkodah Rd,,,Batesville,AR,Independence County,72501,US,TIGER/Line® dataset from the US Census Bureau
"2624 AR-42, Cherry Valley, AR 72324",35.403176,-90.808279,1,rooftop,2624,AR 42 Hwy,,,Cherry Valley,AR,Cross County,72324,US,Arkansas Geographic Information Office
"125 Oak St, Cotton Plant, AR 72036",35.00431,-91.252287,1,rooftop,125,Oak St,,,Cotton Plant,AR,Woodruff County,72036,US,Arkansas Geographic Information Office
"1800 Bypass Road, Heber Springs, AR 72543",35.504536,-92.000718,1,rooftop,1800,Bypass Rd,,,Heber Springs,AR,Cleburne County,72543,US,Arkansas Geographic Information Office
"1555 Exchange Ave, Conway, AR 72032",35.07431,-92.420985,0.5,street_center,,S Exchange Ave,,,Conway,AR,Faulkner County,72032,US,TIGER/Line® dataset from the US Census Bureau
"10 Montgomery Drive, Arkadelphia, AR 71923",34.181989,-93.068493,1,rooftop,10,Montgomery Dr,,,Arkadelphia,AR,Clark County,71923,US,Arkansas Geographic Information Office
"9601 Baptist Health Drive, Little Rock, AR 72205",34.744435,-92.381358,1,rooftop,9601,Baptist Health Dr,,,Little Rock,AR,Pulaski County,72205,US,Pulaski
"2204 Sullenberger Ave., Malvern, AR 72104",34.357756,-92.786689,0.9,rooftop,2204,E Sullenberger Ave,,,Malvern,AR,Hot Spring County,72104,US,Arkansas Geographic Information Office
"1609 North Medical Drive, Stuttgart, AR 72160",34.51628,-91.559254,1,rooftop,1609,N Medical Dr,,,Stuttgart,AR,Arkansas County,72160,US,Arkansas Geographic Information Office
"402 W. Main St, Cabot, AR 72023",34.975692,-92.019041,1,rooftop,402,W Main St,,,Cabot,AR,Lonoke County,72023,US,Arkansas Geographic Information Office
"1813 T P White Dr, Jacksonville, AR 72076",34.884194,-92.108829,1,rooftop,1813,T P White Dr,,,Jacksonville,AR,Pulaski County,72076,US,Pulaski
"7200 Zero St, Fort Smith, AR 72903",35.326867,-94.360481,0.9,range_interpolation,7200,Zero St,,,Fort Smith,AR,Sebastian County,72903,US,TIGER/Line® dataset from the US Census Bureau
"620 W. South, Benton, AR 72015",34.485476,-92.585282,0.33,place,,,,,Benton,AR,Saline County,72015,US,TIGER/Line® dataset from the US Census Bureau
"1103 West Main Street, Green Forest, AR 72638",36.33728,-93.450797,1,rooftop,1103,W Main St,,,Green Forest,AR,Carroll County,72638,US,Arkansas Geographic Information Office
"934 North Gaskill Street, Huntsville, AR 72740",36.09452,-93.742964,1,rooftop,934,N Gaskill St,,,Huntsville,AR,Madison County,72740,US,Arkansas Geographic Information Office
"465 Medical Center Parkway, Clinton, AR 72031",35.55902,-92.454739,1,rooftop,465,Medical Center Pkwy,,,Clinton,AR,Van Buren County,72031,US,Arkansas Geographic Information Office
"2263 Highway 65 North, Marshall, AR 72650",35.909085,-92.662997,1,rooftop,2263,N Highway 65,,,Marshall,AR,Searcy County,72650,US,Arkansas Geographic Information Office
"322 Dogwood Hollow Road, Mountain View, AR 72560",35.890169,-92.104506,1,rooftop,322,Dogwood Hollow Rd,,,Mountain View,AR,Stone County,72560,US,Arkansas Geographic Information Office
"609 West Clark Street, Jasper, AR 72641",36.004058,-93.1927,0.82,nearest_rooftop_match,611,W Clark St,,,Jasper,AR,Newton County,72641,US,Arkansas Geographic Information Office
"402 S. Lee Street, Hampton, AR 71744",33.542558,-92.468891,1,range_interpolation,402,State Hwy 274,,,Hampton,AR,Calhoun County,71744,US,TIGER/Line® dataset from the US Census Bureau
"3710 Southern Hills Blvd, Rogers, AR 72758",36.285404,-94.163932,1,range_interpolation,3710,Southern Hills Blvd,,,Rogers,AR,Benton County,72758,US,TIGER/Line® dataset from the US Census Bureau
"610 E Emma Ave, Springdale, AR 72764",36.185255,-94.124229,1,rooftop,610,E Emma Ave,,,Springdale,AR,Washington County,72764,US,Arkansas Geographic Information Office
"614 E Emma Ave Suite 300, Springdale, AR 72764",36.185396,-94.122907,1,rooftop,614,E Emma Ave,Ste,300,Springdale,AR,Washington County,72764,US,Arkansas Geographic Information Office
"1500 Museum Rd., Suite 104, Conway, AR 72023",35.09947,-92.418019,0.9,rooftop,1500,Museum Rd,Ste,104,Conway,AR,Faulkner County,72032,US,Arkansas Geographic Information Office
"2302 College Ave, Conway, AR 72034",35.0858,-92.457811,1,rooftop,2302,College Ave,,,Conway,AR,Faulkner County,72034,US,Arkansas Geographic Information Office
"216 Arkansas St, Earle, AR 72331",35.265764,-90.454227,1,rooftop,216,Arkansas St,,,Earle,AR,Crittenden County,72331,US,Arkansas Geographic Information Office
"1098 W. Main, Marvell, AR 72366",34.556099,-90.918854,0.9,range_interpolation,1098,W Main,,,Marvell,AR,Phillips County,72366,US,TIGER/Line® dataset from the US Census Bureau
"420 North West End, Suite B, Springdale, AR 72764",36.189379,-94.147236,0.9,range_interpolation,420,N West End Ave,Ste,B,Springdale,AR,Washington County,72764,US,TIGER/Line® dataset from the US Census Bureau
"146 Passion Play Rd Suite A, Eureka Springs, AR 72632",36.394938,-93.710915,0.9,rooftop,146,Passion Play Rd,Ste,A,Eureka Springs,AR,Carroll County,72631,US,Arkansas Geographic Information Office
"3162 W. Martin Luther King Blvd.\nSuites 13 & 14, Fayetteville, AR 72704",36.052386,-94.205832,1,rooftop,3162,W Martin Luther King Jr Blvd,,,Fayetteville,AR,Washington County,72704,US,City of Fayetteville
"1706 N U.S. 71, Mena, AR 71953",34.586802,-94.213191,1,rooftop,1706,Highway 71 N,,,Mena,AR,Polk County,71953,US,Arkansas Geographic Information Office
"120 Adcock Road, Hot Springs, AR 71913",34.466775,-93.140083,1,rooftop,120,Adcock Rd,,,Hot Springs National Park,AR,Garland County,71913,US,Arkansas Geographic Information Office
"4517 Park Avenue, Hot Springs, AR 71901",34.577215,-92.984036,1,rooftop,4517,Park Ave,,,Hot Springs National Park,AR,Garland County,71901,US,Arkansas Geographic Information Office
"1021 W Collin Raye Dr., De Queen, AR 71832",34.046629,-94.348403,1,range_interpolation,1021,W Collin Raye Dr,,,De Queen,AR,Sevier County,71832,US,TIGER/Line® dataset from the US Census Bureau
"11819 Maumelle Blvd, North Little Rock, AR 72113",34.827937,-92.390245,1,rooftop,11819,Maumelle Blvd,,,Maumelle,AR,Pulaski County,72113,US,Pulaski
"1554 Country Club Rd, Sherwood, AR 72120",34.814844,-92.208301,1,range_interpolation,1554,Country Club Rd,,,Sherwood,AR,Pulaski County,72120,US,TIGER/Line® dataset from the US Census Bureau
"136 Health Park Lane, Mena, AR 71953",34.592983,-94.208526,1,rooftop,136,Health Park Ln,,,Mena,AR,Polk County,71953,US,Arkansas Geographic Information Office
"4102 Memorial Dr, Blytheville, AR 72315",35.959696,-89.95569,1,rooftop,4102,Memorial Dr,,,Blytheville,AR,Mississippi County,72315,US,Arkansas Geographic Information Office
"513 Porter St, Helena, AR 72342",34.527914,-90.588683,1,range_interpolation,513,Porter St,,,Helena,AR,Phillips County,72342,US,TIGER/Line® dataset from the US Census Bureau
"4201 Mulberry, Pine Bluff, AR 71603",34.186639,-92.014828,0.9,rooftop,4201,S Mulberry St,,,Pine Bluff,AR,Jefferson County,71603,US,Arkansas Geographic Information Office
"767 W North Street, Fayetteville, AR 72701",36.077137,-94.170548,1,rooftop,767,W North St,,,Fayetteville,AR,Washington County,72701,US,City of Fayetteville
"14006 Hwy 44, Lake View, AR 72355",34.59788,-90.75233,0.22,place,,,,,Lexa,AR,Phillips County,72355,US,TIGER/Line® dataset from the US Census Bureau
"124 Hollywood Ave, Hot Springs, AR 71901",34.487505,-93.037533,1,rooftop,124,Hollywood Ave,,,Hot Springs National Park,AR,Garland County,71901,US,Arkansas Geographic Information Office
"102 W Broad St, Lepanto, AR 72354",35.613238,-90.33044,0.8,range_interpolation,102,State Hwy 140,,,Lepanto,AR,Poinsett County,72354,US,TIGER/Line® dataset from the US Census Bureau
"11219 Financial Centre Parkway, Suite 200, Little Rock, AR 72211",34.74631,-92.3991,1,rooftop,11219,Financial Centre Pkwy,Ste,200,Little Rock,AR,Pulaski County,72211,US,Pulaski
"1310 N Central St, Lonoke, AR 72086",34.81247,-91.905399,0.33,place,,,,,Lonoke,AR,Lonoke County,72086,US,TIGER/Line® dataset from the US Census Bureau
"509 Jackson St, Madison, AR 72359",35.011817,-90.725481,1,rooftop,509,Jackson St,,,Madison,AR,St. Francis County,72359,US,Arkansas Geographic Information Office
"535 Jordan Drive, Monticello, AR 71655",33.612599,-91.797514,0.6,street_center,,Jordan Dr,,,Monticello,AR,Drew County,71655,US,TIGER/Line® dataset from the US Census Bureau
Not Listed,0,0,0,,,,,,,,,,,
"245 Madison St, Clarendon, AR 72029",34.692691,-91.312695,1,rooftop,245,Madison St,,,Clarendon,AR,Monroe County,72029,US,Arkansas Geographic Information Office
"620 N Main St, Harrison, AR 72601",36.235751,-93.107302,1,range_interpolation,620,N Main St,,,Harrison,AR,Boone County,72601,US,TIGER/Line® dataset from the US Census Bureau
"601 Southwest Regional Airport Blvd, Bentonville, AR 72713",36.324619,-94.258621,0.5,street_center,,SW Regional Airport Blvd,,,Bentonville,AR,Benton County,72712,US,TIGER/Line® dataset from the US Census Bureau
"2158 Butterfield Coach Rd., Suite 100,, Springdale, AR 72764",36.165012,-94.095235,1,rooftop,2158,Butterfield Coach Rd,Ste,100,Springdale,AR,Washington County,72764,US,Arkansas Geographic Information Office
"113 W River Road, Redfield, AR 72132",34.446839,-92.184877,1,range_interpolation,113,River Rd,,,Redfield,AR,Jefferson County,72132,US,TIGER/Line® dataset from the US Census Bureau
"9755 AR-22, Ratliff, AR 72951",35.305564,-93.87913,1,rooftop,9755,W State Highway 22,,,Ratcliff,AR,Logan County,72951,US,Arkansas Geographic Information Office
"1233 W. Poplar Street, Rogers, AR 72756",36.332597,-94.134146,0.9,rooftop,1233,W Poplar St,,,Rogers,AR,Benton County,72758,US,Arkansas Geographic Information Office
"201 Airport Road, Hot Springs, AR 71913",34.490826,-93.086048,1,rooftop,201,Airport Rd,,,Hot Springs National Park,AR,Garland County,71913,US,Arkansas Geographic Information Office
